"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"267","Jordan Cox",32,"IT Manager","Sneinton, Nottingham",5,2,"Sourdough, Parmesan and Chilli Biscuits","Monster Attack",6,"IN","Jordan"
"268","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,2,"Parmesan and Apple Biscuits","Tea Time",4,"IN","Kate"
"269","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,2,"Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon",3,"IN","Luis"
"270","Martha Collison",17,"Student","Ascot, Berkshire",5,2,"Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene",5,"IN","Martha"
"271","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,2,"Fennel and Rye Thins","Hansel and Gretel Scene",2,"IN","Nancy"
"272","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray",5,2,"Farthing Biscuits","Zulu Boats at Dawn",10,"IN","Norman"
"273","Richard Burr",38,"Builder","Mill Hill, London",5,2,"Rosemary Seeded Crackers","Pirates!",1,"STAR BAKER","Richard"
"274","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,3,"Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf",8,"IN","Chetna"
"275","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,3,"Rustic Picnic Rolls","Sharing Savoury Pinwheel",7,"IN","Diana"
"276","Iain Watters",31,"Construction Engineer","London/Belfast",5,3,"Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip",9,"IN","Iain"
"277","Jordan Cox",32,"IT Manager","Sneinton, Nottingham",5,3,"Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche",10,"OUT","Jordan"
"278","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,3,"Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread",1,"IN","Kate"
"279","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,3,"Opposites Attract Rolls","Roscón de Reyes",2,"STAR BAKER","Luis"
"280","Martha Collison",17,"Student","Ascot, Berkshire",5,3,"Date and Walnut Rye Rolls","Stuffed Sunflower Loaf",3,"IN","Martha"
"281","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,3,"Cider and Walnut Crusty Rolls","'Full English' Stromboli",5,"IN","Nancy"
"282","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray",5,3,"Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf",4,"IN","Norman"
"283","Richard Burr",38,"Builder","Mill Hill, London",5,3,"Rye and Cranberry Rolls","Pesto Pinwheel",6,"IN","Richard"
"284","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,4,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3,"IN","Chetna"
"285","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire",5,4,"Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan",9,"IN","Diana"
"286","Iain Watters",31,"Construction Engineer","London/Belfast",5,4,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,"OUT","Iain"
"287","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,4,"Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska",7,"IN","Kate"
"288","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,4,"Pears in Puddings","Bakewell Alaska",2,"IN","Luis"
"289","Martha Collison",17,"Student","Ascot, Berkshire",5,4,"Peanut Butter Chocolate Fondants","Key Lime Baked Alaska",1,"IN","Martha"
"290","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,4,"Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska",4,"IN","Nancy"
"291","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray",5,4,"Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise",8,"IN","Norman"
"292","Richard Burr",38,"Builder","Mill Hill, London",5,4,"Black Forest Chocolate Fondants","Tiramisu Baked Alaska",5,"STAR BAKER","Richard"
"293","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,5,"Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies",2,"IN","Chetna"
"294","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,5,"Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies",3,"STAR BAKER","Kate"
"295","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,5,"Tropical Manchester Tart","Four Fruity Seasons Tower",6,"IN","Luis"
"296","Martha Collison",17,"Student","Ascot, Berkshire",5,5,"Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie",1,"IN","Martha"
"297","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,5,"Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies",4,"IN","Nancy"
"298","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray",5,5,"Tarte au Citron","Pieful Tower",5,"OUT","Norman"
"299","Richard Burr",38,"Builder","Mill Hill, London",5,5,"Fig and Orange Tart","Three Course Autumn Pie Feast",7,"IN","Richard"
"300","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,6,"Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream",2,"STAR BAKER","Chetna"
"301","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,6,"Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes",6,"IN","Kate"
"302","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,6,"Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill",3,"IN","Luis"
"303","Martha Collison",17,"Student","Ascot, Berkshire",5,6,"Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte",4,"IN","Martha"
"304","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,6,"Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte",1,"IN","Nancy"
"305","Richard Burr",38,"Builder","Mill Hill, London",5,6,"Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte",5,"IN","Richard"
"306","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,7,"Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs",6,"IN","Chetna"
"307","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex",5,7,"Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs",4,"OUT","Kate"
"308","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,7,"Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",5,"IN","Luis"
"309","Martha Collison",17,"Student","Ascot, Berkshire",5,7,"Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs",3,"IN","Martha"
"310","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,7,"Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs",2,"IN","Nancy"
"311","Richard Burr",38,"Builder","Mill Hill, London",5,7,"Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",1,"STAR BAKER","Richard"
"312","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,8,"Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts",1,"IN","Chetna"
"313","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,8,"Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",2,"IN","Luis"
"314","Martha Collison",17,"Student","Ascot, Berkshire",5,8,"Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts",5,"OUT","Martha"
"315","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,8,"Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",3,"IN","Nancy"
"316","Richard Burr",38,"Builder","Mill Hill, London",5,8,"Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts",4,"STAR BAKER","Richard"
"317","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent",5,9,"Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets",4,"OUT","Chetna"
"318","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,9,"Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",1,"IN","Luis"
"319","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,9,"Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets",3,"IN","Nancy"
"320","Richard Burr",38,"Builder","Mill Hill, London",5,9,"Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets",2,"STAR BAKER","Richard"
"321","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire",5,10,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate",2,"Runner-up","Luis"
"322","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire",5,10,"Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill",1,"WINNER","Nancy"
"323","Richard Burr",38,"Builder","Mill Hill, London",5,10,"Pear Pain au ChocolatPain Au Lait","Mill on the Hill",3,"Runner-up","Richard"
"324","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,1,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",2,"IN","Alvin"
"325","Dorret Conway",53,"Accountant","Penwortham, Lancashire",6,1,"Madeira Cake with Candied Lemons","Enchanted Forest Gâteau",5,"IN","Dorret"
"326","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,1,"Blood Orange Madeira Cake","Black Forest Gâteau",6,"IN","Flora"
"327","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,1,"Somewhere West of Madeira Cake","Black Forest Cherry Tree",8,"IN","Ian"
"328","Marie Campbell",66,"Retired","Auchterarder, Perthshire",6,1,"Zingy Citrus Madeira Cake","A Walk in the Black Forest",3,"STAR BAKER","Marie"
"329","Mat Riley",37,"Fire fighter","London",6,1,"Gin and Tonic Madeira Cake","Black Forest Gateau",7,"IN","Mat"
"330","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,1,"Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau",12,"IN","Nadiya"
"331","Paul Jagger",49,"Prison governor","Swansea, Wales",6,1,"Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation",10,"IN","Paul"
"332","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,1,"Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau",9,"IN","Sandy"
"333","Stu Henshall",35,"Professional musician","Guildford, Surrey",6,1,"Marley Madeira Cake","Purple Forest Gâteau",11,"OUT","Stu"
"334","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,1,"Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell",4,"IN","Tamal"
"335","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,1,"Lemon and Thyme Madeira Cake","Falling Cup Gâteau",1,"IN","Ugnė"
"336","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,2,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",6,"IN","Alvin"
"337","Dorret Conway",53,"Accountant","Penwortham, Lancashire",6,2,"Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs",1,"IN","Dorret"
"338","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,2,"Wedding Biscotti","Honey and Earl Grey Tea Box",2,"IN","Flora"
"339","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,2,"Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture",3,"STAR BAKER","Ian"
"340","Marie Campbell",66,"Retired","Auchterarder, Perthshire",6,2,"Biscotti Italiano","Russian Box",11,"OUT","Marie"
"341","Mat Riley",37,"Fire fighter","London",6,2,"Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine",5,"IN","Mat"
"342","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,2,"Coconut, Fennel and Pistachio Biscotti","Box of Fortunes",9,"IN","Nadiya"
"343","Paul Jagger",49,"Prison governor","Swansea, Wales",6,2,"Chocolate, Hazelnut and Fig Biscotti","Memory Box",10,"IN","Paul"
"344","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,2,"Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box",4,"IN","Sandy"
"345","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,2,"Cinnamon, Maple and Cranberry Biscotti","Chessboard Box",8,"IN","Tamal"
"346","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,2,"White Wine Biscotti","Baby Climbing into the Cookie Box",7,"IN","Ugnė"
"347","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",4,"IN","Alvin"
"348","Dorret Conway",53,"Accountant","Penwortham, Lancashire",6,3,"Walnut and Stilton Soda Breads","Unmade Bread",6,"OUT","Dorret"
"349","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,3,"Fig and Hazelnut Rye Breads","Herb Couture",2,"IN","Flora"
"350","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,3,"Wild Garlic Pesto Soda Breads","Flour Power",1,"STAR BAKER","Ian"
"351","Mat Riley",37,"Fire fighter","London",6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion",8,"IN","Mat"
"352","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,3,"Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket",9,"IN","Nadiya"
"353","Paul Jagger",49,"Prison governor","Swansea, Wales",6,3,"Cranberry and Orange Sweet Soda Breads","King of the Jungle",10,"IN","Paul"
"354","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,3,"Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre",7,"IN","Sandy"
"355","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,3,"Fig, Cheese and Walnut Breads","Breadcycle",3,"IN","Tamal"
"356","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,3,"Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket",5,"IN","Ugnė"
"357","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,4,"Blackberry Crème Brûlées","Tower of Fruits Cheesecakes",9,"IN","Alvin"
"358","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,4,"Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes",3,"IN","Flora"
"359","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,4,"Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes",4,"STAR BAKER","Ian"
"360","Mat Riley",37,"Fire fighter","London",6,4,"Coconut Crème Brûlées","Chocolate Bar Cheesecakes",7,"IN","Mat"
"361","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,4,"Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes",8,"IN","Nadiya"
"362","Paul Jagger",49,"Prison governor","Swansea, Wales",6,4,"Almond Crème Brûlées","Berry Cheesecake Tower",1,"IN","Paul"
"363","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,4,"Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes",6,"OUT","Sandy"
"364","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,4,"Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio",5,"IN","Tamal"
"365","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,4,"Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes",2,"IN","Ugnė"
"366","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,5,"Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8,"IN","Alvin"
"367","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,5,"Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche",3,"IN","Flora"
"368","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,5,"Honey and Flowers Cake","Dessert Island",5,"IN","Ian"
"369","Mat Riley",37,"Fire fighter","London",6,5,"Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll",4,"IN","Mat"
"370","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,5,"Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll",1,"STAR BAKER","Nadiya"
"371","Paul Jagger",49,"Prison governor","Swansea, Wales",6,5,"Carrot & Pecan Cake","Dessert Island Getaway",2,"IN","Paul"
"372","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,5,"Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll",7,"IN","Tamal"
"373","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,5,"Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll",6,"OUT","Ugnė"
"374","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire",6,6,"Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,"OUT","Alvin"
"375","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,6,"Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents",2,"IN","Flora"
"376","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,6,"Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer",3,"IN","Ian"
"377","Mat Riley",37,"Fire fighter","London",6,6,"Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents",1,"STAR BAKER","Mat"
"378","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,6,"Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents",4,"IN","Nadiya"
"379","Paul Jagger",49,"Prison governor","Swansea, Wales",6,6,"Christmas Frangipane Tart","Savoury and Sweet Bouchées",5,"IN","Paul"
"380","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,6,"Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents",7,"IN","Tamal"
"381","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,7,"Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe",4,"IN","Flora"
"382","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,7,"Roadkill Pie","Victoria's Crown Charlotte Russe",5,"IN","Ian"
"383","Mat Riley",37,"Fire fighter","London",6,7,"Raised Venison and Pigeon Pie","Strawberry Charlotte Russe",6,"OUT","Mat"
"384","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,7,"Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe",1,"IN","Nadiya"
"385","Paul Jagger",49,"Prison governor","Swansea, Wales",6,7,"Not a Boaring Pie","Charlotte Rose",2,"IN","Paul"
"386","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,7,"Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",3,"STAR BAKER","Tamal"
"387","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,8,"Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne",3,"IN","Flora"
"388","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,8,"Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions",2,"IN","Ian"
"389","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,8,"Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne",1,"STAR BAKER","Nadiya"
"390","Paul Jagger",49,"Prison governor","Swansea, Wales",6,8,"Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne",5,"OUT","Paul"
"391","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,8,"Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne",4,"IN","Tamal"
"392","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,9,"Passion Fruit and Chocolate Tart","Cocoa Carousel",1,"OUT","Flora"
"393","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,9,"Chocolate and Bay Tart","Chocolate Well",3,"IN","Ian"
"394","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,9,"Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door",4,"STAR BAKER","Nadiya"
"395","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,9,"Chocolate New York Pie","Chocolate Bell Tower",2,"IN","Tamal"
"396","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,10,"Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake",2,"Runner-up","Ian"
"397","Nadiya Hussain",30,"Full-time mother","Leeds / Luton",6,10,"Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake",1,"WINNER","Nadiya"
"398","Tamal Ray",29,"Trainee anaesthetist","Manchester",6,10,"Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake",3,"Runner-up","Tamal"
"399","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,1,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",12,"IN","Andrew"
"400","Benjamina Ebuehi",23,"Teaching assistant","South London",7,1,"Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream",6,"IN","Benjamina"
"401","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,1,"Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",5,"IN","Candice"
"402","Jane Beedle",61,"Garden designer","Beckenham",7,1,"Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake",7,"STAR BAKER","Jane"
"403","Kate Barmby",37,"Nurse","Brooke, Norfolk",7,1,"Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake",4,"IN","Kate"
"404","Lee Banfield",67,"Pastor","Bolton",7,1,"St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake",11,"OUT","Lee"
"405","Louise Williams",46,"Hairdresser","Cardiff",7,1,"Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake",9,"IN","Louise"
"406","Michael Georgiou",20,"Student","Durham",7,1,"Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze",3,"IN","Michael"
"407","Rav Bansal",28,"Student support","Erith",7,1,"Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake",8,"IN","Rav"
