"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"408","Selasi Gbormittah",30,"Client service associate","London",7,1,"Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,"IN","Selasi"
"409","Tom Gilliford",26,"Project engagement manager","Rochdale",7,1,"G&T Drizzle Cake","Black Forest Broken Mirror",2,"IN","Tom"
"410","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,1,"Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting",10,"IN","Val"
"411","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,2,"Beehive Biscuits","Punting in Cambridge",4,"IN","Andrew"
"412","Benjamina Ebuehi",23,"Teaching assistant","South London",7,2,"Bouquet Biscuits","New York, New York",3,"IN","Benjamina"
"413","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,2,"Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet",8,"STAR BAKER","Candice"
"414","Jane Beedle",61,"Garden designer","Beckenham",7,2,"Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat",2,"IN","Jane"
"415","Kate Barmby",37,"Nurse","Brooke, Norfolk",7,2,"""A Biscuit for the Broads""","""I Promise I will do my best""",1,"IN","Kate"
"416","Louise Williams",46,"Hairdresser","Cardiff",7,2,"Baa Bara Brith Biscuits","Gingerbread Wedding",10,"OUT","Louise"
"417","Michael Georgiou",20,"Student","Durham",7,2,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland",9,"IN","Michael"
"418","Rav Bansal",28,"Student support","Erith",7,2,"Union Jack Bunting Biscuits","Gingerbread Christmas Fairground",6,"IN","Rav"
"419","Selasi Gbormittah",30,"Client service associate","London",7,2,"""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church",11,"IN","Selasi"
"420","Tom Gilliford",26,"Project engagement manager","Rochdale",7,2,"Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience",7,"IN","Tom"
"421","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,2,"Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire",5,"IN","Val"
"422","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,3,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket",2,"IN","Andrew"
"423","Benjamina Ebuehi",23,"Teaching assistant","South London",7,3,"Chocolate, Tahini and Almond Babka","Braided Bread Heart",6,"IN","Benjamina"
"424","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist",3,"IN","Candice"
"425","Jane Beedle",61,"Garden designer","Beckenham",7,3,"Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre",9,"IN","Jane"
"426","Kate Barmby",37,"Nurse","Brooke, Norfolk",7,3,"Cobbled Loaf","The Corn Maiden",8,"IN","Kate"
"427","Michael Georgiou",20,"Student","Durham",7,3,"Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous",7,"OUT","Michael"
"428","Rav Bansal",28,"Student support","Erith",7,3,"Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece",10,"IN","Rav"
"429","Selasi Gbormittah",30,"Client service associate","London",7,3,"Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread",5,"IN","Selasi"
"430","Tom Gilliford",26,"Project engagement manager","Rochdale",7,3,"Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir",4,"STAR BAKER","Tom"
"431","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,3,"Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""",1,"IN","Val"
"432","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,4,"Yorkshire 'Tapas' Puddings","Churros Window Box",4,"IN","Andrew"
"433","Benjamina Ebuehi",23,"Teaching assistant","South London",7,4,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros",1,"STAR BAKER","Benjamina"
"434","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,4,"Yorkshire Wellingtons","Two-Way Peanut Butter Churros",2,"IN","Candice"
"435","Jane Beedle",61,"Garden designer","Beckenham",7,4,"Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros",3,"IN","Jane"
"436","Kate Barmby",37,"Nurse","Brooke, Norfolk",7,4,"Christmas Dinner Compromise","Hot Cross Bunny Churros",7,"OUT","Kate"
"437","Rav Bansal",28,"Student support","Erith",7,4,"Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros",9,"IN","Rav"
"438","Selasi Gbormittah",30,"Client service associate","London",7,4,"Perfect Sunday Roast Accompaniment","Lemon and Anise Churros",8,"IN","Selasi"
"439","Tom Gilliford",26,"Project engagement manager","Rochdale",7,4,"West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass",5,"IN","Tom"
"440","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,4,"Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros",6,"IN","Val"
"441","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,5,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",6,"IN","Andrew"
"442","Benjamina Ebuehi",23,"Teaching assistant","South London",7,5,"'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups",5,"IN","Benjamina"
"443","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,5,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2,"STAR BAKER","Candice"
"444","Jane Beedle",61,"Garden designer","Beckenham",7,5,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1,"IN","Jane"
"445","Rav Bansal",28,"Student support","Erith",7,5,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas",8,"IN","Rav"
"446","Selasi Gbormittah",30,"Client service associate","London",7,5,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3,"IN","Selasi"
"447","Tom Gilliford",26,"Project engagement manager","Rochdale",7,5,"Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche",4,"IN","Tom"
"448","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,5,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7,"OUT","Val"
"449","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",6,"IN","Andrew"
"450","Benjamina Ebuehi",23,"Teaching assistant","South London",7,6,"Grapefruit and Ginger Meringue Pie","Floral Tea Cake",2,"IN","Benjamina"
"451","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,6,"Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake",5,"IN","Candice"
"452","Jane Beedle",61,"Garden designer","Beckenham",7,6,"Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar",4,"IN","Jane"
"453","Rav Bansal",28,"Student support","Erith",7,6,"Mandarin Margarita Meringue Pie","Blossom Cake",3,"OUT","Rav"
"454","Selasi Gbormittah",30,"Client service associate","London",7,6,"Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake",7,"IN","Selasi"
"455","Tom Gilliford",26,"Project engagement manager","Rochdale",7,6,"Blood Orange Halloween Pumpkin Pie","Floral Tea Cake",1,"STAR BAKER","Tom"
"456","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,7,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes",1,"STAR BAKER","Andrew"
"457","Benjamina Ebuehi",23,"Teaching assistant","South London",7,7,"Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake",3,"IN","Benjamina"
"458","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,7,"Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse",2,"IN","Candice"
"459","Jane Beedle",61,"Garden designer","Beckenham",7,7,"Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4,"IN","Jane"
"460","Selasi Gbormittah",30,"Client service associate","London",7,7,"Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,"IN","Selasi"
"461","Tom Gilliford",26,"Project engagement manager","Rochdale",7,7,"Millionaire's Roulade","Hipster Picnic",5,"OUT","Tom"
"462","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,8,"Da Vinci Inspired Geared Pies","Jousting Knights Marchpane",2,"IN","Andrew"
"463","Benjamina Ebuehi",23,"Teaching assistant","South London",7,8,"Mexican Adventure","Tudor Garden",4,"OUT","Benjamina"
"464","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,8,"Cheesy Cheeky Fish Pies","Peacock",1,"STAR BAKER","Candice"
"465","Jane Beedle",61,"Garden designer","Beckenham",7,8,"Tudor Rose Pies","Swans",5,"IN","Jane"
"466","Selasi Gbormittah",30,"Client service associate","London",7,8,"Bouquet of Flowers","Fruity Tudor Marchpane",3,"IN","Selasi"
"467","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,9,"Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants",2,"STAR BAKER","Andrew"
"468","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,9,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies",3,"IN","Candice"
"469","Jane Beedle",61,"Garden designer","Beckenham",7,9,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies",1,"IN","Jane"
"470","Selasi Gbormittah",30,"Client service associate","London",7,9,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies",4,"OUT","Selasi"
"471","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,10,"Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic",1,"Runner-up","Andrew"
"472","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,10,"Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens",2,"WINNER","Candice"
"473","Jane Beedle",61,"Garden designer","Beckenham",7,10,"Red, White and Blue Meringue Crown","Family Favourites Feast",3,"Runner-up","Jane"
"474","Chris Geiger",50,"Software developer","Bristol",8,1,"Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake",12,"IN","Chris"
"475","Flo Atkins",71,"Retired","Merseyside",8,1,"Citrus Layer Cake","'One in a Melon' Cake",9,"IN","Flo"
"476","James Hillery",46,"Banker","Brentwood, Essex",8,1,"Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake",2,"IN","James"
"477","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,1,"Courgette and Lemon Cake","'Russian Doll' Cake",3,"IN","Julia"
"478","Kate Lyon",29,"Health and safety inspector","Merseyside",8,1,"Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake",1,"IN","Kate"
"479","Liam Charles",19,"Student","North London",8,1,"Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake",8,"IN","Liam"
"480","Peter Abatan",52,"IT programme manager","Southend, Essex",8,1,"Coconut Cake","'Bread on a Breadboard' Cake",10,"OUT","Peter"
"481","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,1,"Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake",5,"IN","Sophie"
"482","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,1,"Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake",11,"IN","Stacey"
"483","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,1,"Bonfire Night Cake","'A Baker's Lunch' Cake",6,"STAR BAKER","Steven"
"484","Tom Hetherington",29,"Architect","Edinburgh",8,1,"Gilded Pear and Cardamom Cake","'Stack of Books' Cake",7,"IN","Tom"
"485","Yan Tsou",46,"Laboratory research scientist","North London",8,1,"Windfall Apple Crumble Cake","'Banana-ramen' Cake",4,"IN","Yan"
"486","Chris Geiger",50,"Software developer","Bristol",8,2,"Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game",11,"OUT","Chris"
"487","Flo Atkins",71,"Retired","Merseyside",8,2,"Gin Jam Butties","'Pick My Bones' Game",10,"IN","Flo"
"488","James Hillery",46,"Banker","Brentwood, Essex",8,2,"Rhubarb and Custard Whirls","'Coppit' Game",3,"IN","James"
"489","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,2,"Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game",4,"IN","Julia"
"490","Kate Lyon",29,"Health and safety inspector","Merseyside",8,2,"Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game",8,"IN","Kate"
"491","Liam Charles",19,"Student","North London",8,2,"Coffee Malted Pecan Shorties","'Classroom Classics' Game",7,"IN","Liam"
"492","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,2,"Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game",2,"IN","Sophie"
"493","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,2,"Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game",9,"IN","Stacey"
"494","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,2,"Amarpressi Biscuits","'Check Bake' Game",6,"STAR BAKER","Steven"
"495","Tom Hetherington",29,"Architect","Edinburgh",8,2,"Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game",5,"IN","Tom"
"496","Yan Tsou",46,"Laboratory research scientist","North London",8,2,"'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game",1,"IN","Yan"
"497","Flo Atkins",71,"Retired","Merseyside",8,3,"Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture",7,"OUT","Flo"
"498","James Hillery",46,"Banker","Brentwood, Essex",8,3,"Nordic Teacakes","'Owl in the Woods' Bread Sculpture",9,"IN","James"
"499","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,3,"Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture",2,"STAR BAKER","Julia"
"500","Kate Lyon",29,"Health and safety inspector","Merseyside",8,3,"Blueberry Buns","'Kraken' Bread Sculpture",10,"IN","Kate"
"501","Liam Charles",19,"Student","North London",8,3,"Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture",5,"IN","Liam"
"502","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,3,"Tagine Teacakes","'Picnic Basket' Bread Sculpture",6,"IN","Sophie"
"503","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,3,"Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture",1,"IN","Stacey"
"504","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,3,"Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture",3,"IN","Steven"
"505","Tom Hetherington",29,"Architect","Edinburgh",8,3,"Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture",4,"IN","Tom"
"506","Yan Tsou",46,"Laboratory research scientist","North London",8,3,"'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture",8,"IN","Yan"
"507","James Hillery",46,"Banker","Brentwood, Essex",8,4,"'Windy City' Millionaire Shortbreads","Nutty Caramel Cake",2,"IN","James"
"508","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,4,"Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake",9,"IN","Julia"
"509","Kate Lyon",29,"Health and safety inspector","Merseyside",8,4,"Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake",6,"STAR BAKER","Kate"
"510","Liam Charles",19,"Student","North London",8,4,"Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake",3,"IN","Liam"
"511","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,4,"Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake",4,"IN","Sophie"
"512","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,4,"Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake",1,"IN","Stacey"
"513","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,4,"Orange Macadamia Nut Millionaire Shortbreads","Caramel Crown Cake",7,"IN","Steven"
"514","Tom Hetherington",29,"Architect","Edinburgh",8,4,"Stem Ginger Caramel Shortbreads","Hummingbird Cake",5,"OUT","Tom"
"515","Yan Tsou",46,"Laboratory research scientist","North London",8,4,"'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake",8,"IN","Yan"
"516","James Hillery",46,"Banker","Brentwood, Essex",8,5,"Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine",7,"OUT","James"
"517","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,5,"Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine",3,"IN","Julia"
"518","Kate Lyon",29,"Health and safety inspector","Merseyside",8,5,"'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine",8,"IN","Kate"
"519","Liam Charles",19,"Student","North London",8,5,"Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine",2,"IN","Liam"
"520","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,5,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,"STAR BAKER","Sophie"
"521","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,5,"Bakewell Tart Steamed School Pudding","Tropical Trifle Terrine",4,"IN","Stacey"
"522","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,5,"Lemon & Blackcurrant Drizzle Steamed School Pudding","'From Across the Jelly Pond' Trifle Terrine",5,"IN","Steven"
"523","Yan Tsou",46,"Laboratory research scientist","North London",8,5,"Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine",6,"IN","Yan"
"524","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,6,"'Pies from the Tree' Decorative Pies","'Special Occasion' Pie",7,"OUT","Julia"
"525","Kate Lyon",29,"Health and safety inspector","Merseyside",8,6,"'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze",5,"IN","Kate"
"526","Liam Charles",19,"Student","North London",8,6,"'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie",4,"STAR BAKER","Liam"
"527","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,6,"'The Four Seasons' Decorative Pies","Game Pie with Glazed Forest Fruits",2,"IN","Sophie"
"528","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,6,"'Love Theme' Decorative Pies","Indian Hand Raised Pie with Mango",6,"IN","Stacey"
"529","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,6,"'Fleetwood Mac' Decorative Pies","Christmas Pie",3,"IN","Steven"
"530","Yan Tsou",46,"Laboratory research scientist","North London",8,6,"'πr2' Decorative Pies","Chequerboard Pie",1,"IN","Yan"
"531","Kate Lyon",29,"Health and safety inspector","Merseyside",8,7,"'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle",6,"IN","Kate"
"532","Liam Charles",19,"Student","North London",8,7,"'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle",2,"IN","Liam"
"533","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,7,"'Classics with a Twist' Cannoli","'Classics' Sfogliatelle",3,"IN","Sophie"
"534","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,7,"My All Time Favourite Desserts","Pastry Surprise",4,"IN","Stacey"
"535","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,7,"Italian Style Cannoli","'Sicilian-style' Sfogliatelle",1,"STAR BAKER","Steven"
"536","Yan Tsou",46,"Laboratory research scientist","North London",8,7,"Cannoli Cocktails","Canadian-Style Sfogliatelle",5,"OUT","Yan"
"537","Kate Lyon",29,"Health and safety inspector","Merseyside",8,8,"Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake",2,"IN","Kate"
"538","Liam Charles",19,"Student","North London",8,8,"'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake",5,"OUT","Liam"
"539","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,8,"Char Siu & Banana Praline Bedfordshire Clangers","Citrus with Green Apple Croquembouche Savoy Cake",4,"IN","Sophie"
"540","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,8,"Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Bright' Lemon & Orange Savoy Cake",3,"STAR BAKER","Stacey"
"541","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,8,"'Mediterranean Medley' Bedfordshire Clangers","Chestnut Rum Savoy Cake",1,"IN","Steven"
"542","Kate Lyon",29,"Health and safety inspector","Merseyside",8,9,"Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece",4,"IN","Kate"
"543","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,9,"Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","'Tutu with Opera Filling' Meringue Centrepiece",1,"STAR BAKER","Sophie"
"544","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire",8,9,"'Choux-nicorn and Choux-moji' Choux Buns","'Flamingos in Love' Meringue Centrepiece",2,"OUT","Stacey"
"545","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,9,"Key Lime Cheesecake and Bakewell Tart Choux Buns","'Some Air Over the Rainbow' Meringue Centrepiece",3,"IN","Steven"
"546","Kate Lyon",29,"Health and safety inspector","Merseyside",8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,"Runner-up","Kate"
"547","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Ode to the Honey Bee' Entremet",2,"WINNER","Sophie"
"548","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'Yin Yang' Entremet",1,"Runner-up","Steven"
